pathway	description	AD1	AD4	AD5	AD6	AD7	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	8.322350836889232	24.97662765386701	1130.3658951882533	0.0	89.3598426040534	24.961154161539373	74.64472312012929	122.50341408100564	92.20171648327673	310.29024976551545	29.95699719384156	89.52164430750562	94.52688143310291	168.0516987775414	124.0650151585286	127.34898390833712	94.13199042160863	49.89554771183012
FERMENTATION-PWY	mixed acid fermentation	6599.324808773754	8099.576370391484	11177.43587541597	5733.107637689719	4388.089665178077	5631.310870948375	9117.832955060869	8334.568621527556	9834.589065433687	10255.773857014598	6608.915854819688	5790.164256953931	3908.9108741396567	4704.98825927653	8329.417570982718	6048.792573243414	6732.280680424783	7806.071479623998
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	6793.559051720252	4906.572057263295	12514.09523697985	3707.820839905844	4668.077161039682	5282.26550011021	6533.459810577719	6641.850395998549	10979.538174328343	9800.532839636291	7235.229776462395	5909.136627249412	6465.9343765048325	6239.687248937193	7353.798360433714	6714.087689778653	4561.145377243397	9587.415732442498
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	1865.272452246517	917.9741631915643	809.8224431976791	511.6492309507663	372.3739969307836	215.8522324756267	206.5792962875614	640.9425776331184	1526.1873106640635	797.3596687157983	150.42466691292	1272.5995257442032	404.0026507782815	222.0051053603366	676.80472786641	420.5819950125381	136.57226156188432	1214.3106062820136
FUCCAT-PWY	fucose degradation	2029.5414423226016	1218.3463647176522	512.0131440090641	327.3563663049934	435.2476161176959	192.13989197714483	189.02942876910316	483.70385572845606	1007.9089832597812	553.1578741430422	90.70861056860905	937.2080149957708	349.68180763719283	162.65070021047927	446.0157400697289	249.32869768447395	78.49614310820911	911.4863201411032
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	4426.760570942229	3722.039611286437	5439.489179610428	1701.4993627157912	1627.6236704538903	1299.940914480734	1735.4021123779733	2021.4841943551476	3487.34878797065	2816.400501328566	1514.7836710458378	2250.7187113054583	2487.7395036902917	1469.3490411857097	2682.462984344672	1496.018528426673	1107.4672222747167	2841.64847255828
GALACTARDEG-PWY	D-galactarate degradation I	204.30613401497212	128.20386257501394	0.0	58.090952844467935	16.653805579345338	0.0	0.0	18.84001707821024	60.84776616053057	0.0	0.0	34.42668699166271	0.0	0.0	190.86298299470647	9.481266519842176	0.0	0.0
GALACTUROCAT-PWY	D-galacturonate degradation I	5637.979830254453	5146.682839257547	6727.327188981726	2279.7898195540997	2205.2406622695867	1514.9229237117995	2099.813912926991	2887.914037799309	5278.827336987739	3356.880472865577	1866.3501475478415	3175.380538257401	3212.120440492069	1741.820371227965	4110.557072798164	2101.203553229172	1390.6668048186746	3609.942090153993
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	11817.704855819537	14061.869299618276	11164.16406492879	7615.047938125245	6342.844176598947	8163.738778891578	7751.830127633055	10231.512993959028	11423.941703424798	7974.346788060974	14142.008150340296	10448.077368215814	11214.60096079423	23964.528719625887	10196.324147309402	10308.005511905529	10112.5423482872	26095.572511837785
GLUCARDEG-PWY	D-glucarate degradation I	929.890084273654	592.7559198773383	386.4464616289199	362.8982654720157	117.14872290320632	23.21012922822336	76.57082668217302	179.3937998017515	301.19856974704703	110.70003628245026	49.02062240999869	403.806940793484	49.34893004916896	0.0	489.06004708885695	98.86140854152548	30.553473074989824	216.2677710247172
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	204.30613401497212	128.20386257501394	0.0	58.090952844467935	16.653805579345338	0.0	0.0	18.84001707821024	60.84776616053057	0.0	0.0	34.42668699166271	0.0	0.0	190.86298299470647	9.481266519842176	0.0	0.0
GLUCONEO-PWY	gluconeogenesis I	14114.358842555126	16256.21020964221	19052.857869274227	9612.628950474462	8376.70207449854	10553.349382763085	12429.51648139392	13130.823161302038	16990.111150932735	14871.908165115332	14406.294802136636	11027.0337994551	8996.669298205112	16629.501304887537	11884.91574694154	10577.054122948282	10051.45063442972	18906.895126851137
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	6.658913314782393	19.98989524399449	4.659425157981229	0.0	1.3398989638675975	19.98367069673871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.333308516022582	0.0	0.0	0.0
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	4669.072636071591	3649.9159900158593	5225.04474840159	1615.6300350192246	1537.4836890076638	1304.5738469615633	1743.8999572539435	1886.4641636008955	3236.4264731533976	2807.9847330799294	1554.1112286574498	2144.923407339241	2549.52080733252	1414.437170734887	2625.950712942152	1467.6289016519088	1130.0865471394914	2770.185022115565
GLUTORN-PWY	L-ornithine biosynthesis	7712.606533885887	7569.109885400649	6421.286465042005	2311.4597267770296	2385.913106196325	1734.7515382867082	2291.6073340943376	2764.3038599328656	6859.609422134019	3922.390542480021	1986.783972460276	3526.774397947172	6461.151662127392	2568.9000292740047	5756.750527968028	3914.821046556309	1599.8666446210411	5555.222071810025
GLYCOCAT-PWY	glycogen degradation I (bacterial)	13662.657439838207	14059.81399245266	11410.708099330015	4998.905137915696	4999.161394359435	4072.720776653765	4336.6521878208905	6494.167129409307	11172.353102290725	6637.999783833609	4605.277464743924	7458.37130003656	10369.389133323964	5338.053983343498	8181.151612369124	6901.187080601873	3319.459904886399	11301.949743297644
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	15064.91877967666	15866.919632293038	11266.31872741133	6920.630194445688	6474.670062512006	7572.696191558087	5840.652483642597	9519.777535376306	12603.999523196924	7557.610491245963	11685.359172095348	10343.698225913564	13296.473705555109	21841.64852039503	8380.167550310869	9451.975885333415	7969.076679701809	24523.26109204293
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	5.32707708729319	11.347426011332749	0.0	0.0	0.0	14.107961476240986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	16507.14369577941	18658.052031051557	18614.129917483337	9616.617427913989	7828.669492603123	10522.39461593883	11444.775457348853	11954.260709635846	17805.437077473736	13382.22871652709	14043.38363626499	10352.13301109797	12681.846420756723	11948.809109577413	12927.691956541938	10517.402504573532	7863.558492495794	19026.40185294437
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	9579.041017608	9484.49770185934	14635.90093710961	7113.058996861926	5125.57940731616	6418.001954307724	7936.544490922546	7327.364174404577	12017.397614436532	9705.329026397245	8411.024380568082	5828.271985651448	4416.668205510116	2594.925381960461	7784.147150203615	7769.042232209496	5278.522444158566	8508.980341914541
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	23.80835306599403	126.86090570964696	0.0	0.0	0.0	86.15488390957303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLYOXYLATE-BYPASS	glyoxylate cycle	13.29982437118629	29.90374916530191	0.0	0.0	0.0	19.909576412282934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	3030.8969285488656	3040.709610191703	3020.978401373475	2719.0350116257137	1880.0194832020973	3483.1982742550927	2491.640348667331	2401.5965350370543	3429.572831242442	2112.7211387015054	4645.53441170798	1709.4612202783042	29.87951088644895	0.0	1534.181685734623	2433.898235304628	1370.2680399658434	948.7833430357538
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	122.39878103628418	19.95831318623388	214.4704169533925	180.21984893654087	219.46317168307624	399.64812366863407	352.23877922592106	669.0040341986085	849.2415400130935	506.8069509578993	376.12721352343294	273.6389200137823	274.9971417321988	507.6572263083193	368.2543115305023	178.2844523197749	270.97001951967286	493.0021940333056
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	5413.656686839042	5219.090312368687	2989.118155460372	1730.777604555902	2080.7388968503237	1384.8280134946967	2005.727801133754	2728.6924555482638	5388.387785495414	3262.5080086036555	1625.2260551256727	3322.448526206809	3537.862489481773	2163.7526539316013	3447.700684330004	2680.451584658017	1327.5243905973985	5439.58933978767
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	1471.5378355465546	771.796229518024	522.5399809021849	149.70026835215452	71.26114066213717	173.25051489096242	484.2099616975356	921.014368919316	208.85986447263824	194.04392864524573	5.358120547620124	406.95598800689953	334.04045117097604	43.61248803099906	168.5616144320838	134.27057802185763	0.0	0.0
HISDEG-PWY	L-histidine degradation I	1851.0127746550845	1172.2148070907197	2388.1240248312606	687.9840690341853	1023.975	895.9117022701184	1208.1368775201222	1627.3357961319489	2254.685104738357	2651.5541970890963	1011.3233453609772	1767.769262634631	643.9764357844488	1631.8212969465285	1255.104369879048	746.5065105305002	723.3362002760186	1224.424669139691
HISTSYN-PWY	L-histidine biosynthesis	8337.857479392107	8066.760462890218	7993.851293900445	2681.7399636883592	3154.050205059367	2475.698532123538	3194.075690467023	4010.4577134027536	8022.970040640316	5583.879788543777	2689.045307775865	4627.7421808712525	6479.95427673222	3316.8387840299606	6105.912308981107	4227.577340165383	2096.492574480361	6029.71213821745
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	172.9999039873497	1282.129629766031	1691.311557853352	620.3115593210939	566.1991136309668	620.1597004958436	1016.4945713735954	821.4693580177374	2154.9267814194	1781.522212643137	1180.9496060412105	702.6608643033187	2227.270196566866	1182.705917580054	2137.7771052196176	2000.7338857152424	968.4700087790682	2882.125688561936
HSERMETANA-PWY	L-methionine biosynthesis III	3425.143097850249	2492.3897214784547	2111.949457731193	719.1333128043186	1384.5714991874625	1292.2076370250977	1641.972672760824	2196.28678490046	3953.826652279592	3271.7330088612944	1664.320432043477	2246.991771632396	2666.5917059908597	2261.771582680194	2827.760722981456	2118.9984868540187	1298.827009623761	3210.752464046492
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	14867.15508402112	14595.265621248242	10459.91520286311	4960.919003557561	5102.98035638049	4404.60030247095	4794.55817717131	6909.226648208589	13432.236979923397	7823.185426723774	4484.728927435587	8384.993380762064	11445.430719046451	5822.5055019777865	8770.48150887588	6521.662074768198	3368.16935460409	12056.140382317308
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	26.33047466776321	77.44576088211791	0.0	0.0	0.0	76.43649660188002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LACTOSECAT-PWY	lactose and galactose degradation I	5713.798150548652	8631.949229429127	4235.589704287564	6023.725972079995	4179.743432813628	6934.274796781318	5459.021441667427	8022.531156628417	6073.323331012583	4197.00913451254	9578.181974098932	5693.102970904621	6585.7547686218695	19390.84692399723	2282.9257204479995	6094.256985627381	8599.517357863115	19547.29823669104
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	268.1083775035486	1951.665637938081	2580.446627700748	968.8654847545296	872.8347036685002	985.5533359103276	1604.191071602616	1272.0988904202184	3253.269440474196	2714.443950055664	1972.566654743243	1080.6878065345195	3319.10116514652	1943.9813945582496	3199.433641386061	3179.670842761027	1609.073267316856	4733.6797562632855
METH-ACETATE-PWY	methanogenesis from acetate	11.824285937234627	41.482539806817314	40.81560492251685	0.0	0.0	0.0	7.630540107900474	13.545053980479532	15.773673047165309	0.0	0.0	24.818268085280657	69.05572059563515	0.0	55.631125132713365	30.537779245277964	0.0	22.038121685410285
METHGLYUT-PWY	superpathway of methylglyoxal degradation	4.162171905612113	7.776373755172784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	689.6286150400804	703.1672265725962	303.8469302369125	29.82497005820821	335.24472846471605	164.17388382760677	53.25945415082702	116.5728756841998	327.94428895026533	255.85500917250545	31.684488162033105	221.54786980737683	255.49677418237792	164.00412969175918	304.84799828424576	61.28719398659093	80.54583877579525	317.8580615317544
NAGLIPASYN-PWY	lipid IVA biosynthesis	2040.0202025705169	2238.777017619462	3825.767909022744	1232.5129679747406	1666.3656890808522	1596.585803227933	2140.332108253903	2410.360842034267	3699.140011398139	3813.347158554398	2157.652298580875	2230.275301059032	1818.1422813960744	2777.497202545528	2617.474956381727	2061.754381455355	1684.6282568225784	3431.393919633287
NONMEVIPP-PWY	methylerythritol phosphate pathway I	10211.198177594491	10194.077669062362	10054.364059518512	3773.672056482285	4034.881789693565	3352.600825235986	4456.822145042509	5834.145176045031	9828.76708933409	7070.52352263713	3755.5756359743714	5867.994912010371	7440.003522052666	4451.657987505716	7239.308976804916	5369.57614504922	2834.9388410513	7537.308064597962
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	21965.342309794105	23359.006389777514	20379.833561478103	10566.222253733547	8840.861557388684	7854.273679588312	12282.06306371514	14535.283069675985	20742.823336059428	15109.570322622636	6214.720329036916	12127.410085016192	15034.99678228633	6726.7149386791725	15201.222727538294	11215.73239810474	7336.612460850546	14398.487359300803
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	12819.361417964095	15347.342297483186	18069.34531907471	10170.493423959755	7426.275812862998	10732.535309889425	13397.46931116767	12516.422898122928	15668.985786282008	14229.708125206424	14790.40037213427	9366.883874064404	8581.05185408547	8771.052005676083	11337.777696804174	10716.500179983752	9961.972491127945	13344.411377431385
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	7.75719513037744	11.641451654847558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ORNDEG-PWY	superpathway of ornithine degradation	6.655601091703923	9.993976810721277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	49.4809953380589	146.22578770662997	0.0	0.0	0.0	142.61027430425958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P108-PWY	pyruvate fermentation to propanoate I	3601.5527349773	3963.874767591493	5413.155596776527	1933.3463617689565	2566.325016806204	2352.246282403089	3001.829459718403	3970.664666117162	5374.537257693517	5264.491780453914	2941.7162630092125	3882.976604475279	1901.0994322939805	3471.219444637447	3595.4572940948483	2462.5999942999456	2163.094751663118	3870.43834339335
P122-PWY	heterolactic fermentation	11367.80884068906	14715.09836672727	15986.92487002365	10770.102491393529	7582.425305047634	11846.142325118844	13631.978937340537	13329.420831316322	14726.627688615148	13553.018721133512	16735.101961654076	9573.319458656775	8583.478559564972	19361.88203669966	10116.794428996376	11166.375862038802	12118.526509403957	21430.18781269316
P124-PWY	Bifidobacterium shunt	14037.855590348476	17584.646840207017	17635.888340339716	12011.99853939402	8746.38508514534	13219.226308896888	15253.22634252512	15480.365383760323	17137.93681941148	15373.206221589666	18895.58498659927	11475.389379895109	10982.190031152635	23409.68432744556	11806.28613686032	13119.731901987818	13992.1423077278	25795.31940666738
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	0.0	47.95324742035216	0.0	10.49673466460752	25.47286740711345	32.96966591961855	297.68750943891274	658.0377730612054	38.96497812707006	41.95595319145512	8.99819702794754	23.979830741506987	29.968331266603077	20.99262847186125	2.999480162337361	14.99285459856744	0.0	4.499707424562436
P161-PWY	acetylene degradation	18223.138599028174	20121.781699640287	18218.85086200638	13975.757062620463	9497.431134336386	15457.383250075372	16786.002642262723	16804.623113542682	19127.50308818563	16293.185618810234	21294.91952432105	12676.293187675372	12578.357219712016	26552.661438620755	11860.594789879586	13731.31526576954	15338.397163924512	29582.227581155745
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	210.892379254947	7.933237067295654	36.19351836730969	48.73184481804219	23.05535104402305	0.0	179.05364177212687	271.96757448916094	103.88556299891168	16.82067192695996	11.4848927587087	123.33833274268927	224.6939449197197	21.09704624470629	287.50725224233173	115.55535410524764	0.0	134.022445598738
P163-PWY	L-lysine fermentation to acetate and butanoate	89.63111034761371	69.1698473846454	189.6306677208095	34.58875873855991	118.08849532543174	30.306441828688	0.0	0.0	300.6044962875948	0.0	0.0	90.33443831078806	177.85295104236715	190.65867482673295	289.07040168530733	11.905997797382392	0.0	189.1832405849118
P164-PWY	purine nucleobases degradation I (anaerobic)	5647.0401039498365	2328.683002557545	1056.4109304674337	1535.761183148392	784.5002235544881	307.0205486006288	278.5266556610884	864.4059277650442	2150.592170847466	1206.8779943942227	231.06155735527943	1727.123386846777	1245.4533064963962	222.41528264810344	2449.9595797245383	554.3485155250033	149.63734257271983	1583.850912524221
P23-PWY	reductive TCA cycle I	871.7461699797645	1148.4136801282173	6619.624152907093	2290.634848453544	2383.5971762211843	2553.7320249453064	3515.343175841616	3443.779706438729	5793.081235004072	5647.282997745381	2672.785996744128	3129.4664700986527	1930.8434213741605	1824.475226227864	3714.665912723329	2857.534607280355	1954.9349920090765	3953.1937052209446
P341-PWY	glycolysis V (Pyrococcus)	758.4389387880111	1354.483518020672	159.3813546482984	74.75144146647916	226.99178317064835	0.0	32.46120374107837	26.225357837236807	153.1106286407169	0.0	0.0	220.3241833859113	254.1975567376501	0.0	379.3711113054189	62.341679816072926	0.0	126.29299322341224
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	863.0167234627854	4518.022861790322	5576.029873065382	2190.0774236515226	2004.4780077544951	2121.090416443073	2895.9619038350334	2847.5688511265867	6278.522324603767	4556.397631383221	2904.5185962266123	2589.407159677853	4926.27994238794	2932.802871363137	5057.192210308052	4833.515735105696	2097.097697075567	6764.334368796554
P42-PWY	incomplete reductive TCA cycle	6323.990529920809	7110.738167209219	10017.780028122255	3770.245928057044	4328.089407489351	4050.279195994051	5451.923931275228	6174.852898622389	8692.595404118947	8371.680489692993	5235.678572545985	5948.86859483761	3691.208755098761	5851.898754881269	5962.824937517851	4690.4617663970175	3989.1228989082	7828.734195207671
