"rownames(pathway)"	"Kruskal_test"	"Dunn_AD-AP"	"Dunn_AD-CON"	"Dunn_AP-CON"	"AD_mean"	"AD_SD"	"AP_mean"	"AP_SD"	"CON_mean"	"CON_SD"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"superpathway of L-aspartate and L-asparagine biosynthesis"	0.982609137827942	0.768434899810579	0.154727590862631	1	8999.19888534778	3858.60773043394	8983.64597006924	2594.62243677841	8618.80172350146	2433.69534234707	11258.7663648553	12279.8890029311	13791.2093755004	5511.65488875269	5686.93597783966	5466.73770220752	7117.0378082335	8393.89167223329	13526.509156981	10370.0258590362	6460.38078730197	8034.03053662959	9251.30129278809	8246.1994534765	9444.09009917563	7496.58885207644	4953.95213020637	12320.6785132857
"L-arginine degradation II (AST pathway)"	0.120314388400899	0.224117799936391	0.224117799936391	1	1.38833333333333	2.21468206898116	0	0	0	0	3.33	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"biotin biosynthesis I"	0.128396572892949	1	1	1	459.693853676985	937.062289508213	309.107433362996	239.540639448239	285.903596532758	100.119078342084	23.0428061283395	68.6843676961102	2365.20905149391	0	232.796520024545	68.4303767190046	199.753623661118	316.563691314245	248.751710766259	772.074729895373	82.3019239876929	235.19892055329	246.220039222983	431.326823725082	326.914679330863	329.291653823974	244.47947818048	137.188904913163
"superpathway of branched amino acid biosynthesis"	0.97687965476273	1	1	1	7934.49353549323	4133.92766442574	6837.49016255532	2629.33643434953	7281.3775178078	2798.40895032784	12636.859559354	12349.3935008971	9799.84948621111	4264.54809280025	4558.80684520093	3997.50372849597	4488.91806142674	6303.43991656561	11535.3398372953	7242.9744916923	4301.29061786509	7152.9780504869	10126.936142172	5679.64391171489	7895.39501994812	6123.00844341346	3289.57813193184	10573.7034576664
"Calvin-Benson-Bassham cycle"	0.884434326401331	1	1	1	12536.1175415246	5742.77803894459	10677.682191355	3507.43252875834	10116.2773457801	3172.32370427269	16385.3385264331	17779.9789985901	18960.3194396253	8188.61998834904	7073.16556135752	6829.28273479281	8790.53715655407	10171.4787206421	17084.313520758	11817.7266572002	7083.70863051505	9118.32846246071	11386.056058057	7643.95090363652	12389.5250216928	9103.02169979415	5821.55821469115	14353.5521768091
"pyruvate fermentation to butanoate"	0.0131237287369409	0.175239940393165	0.529274546425124	1	261.932713734449	115.921594551659	733.11299801274	331.201627288039	327.028975869869	211.075196138841	142.035610978373	129.588343116007	220.737518868575	313.038595469478	411.626798345102	354.569415629161	547.045967736424	985.25427311618	1279.28674645517	657.333649409137	430.754998362682	499.002352996841	266.710491013252	474.383845096599	275.363225876496	87.8181503414866	187.34471046652	670.553432424864
"coenzyme A biosynthesis I"	0.80543379654864	1	1	1	13991.5750771669	4096.0724760555	14922.8517278241	2311.11208480014	15555.8428486081	5011.6488883207	15462.8172760596	18378.5937228358	18484.1512018274	11033.4641239689	8531.87676086156	12058.5473774479	14018.8049695066	14482.6576029476	17909.4029198385	15250.9678027513	16651.1865533724	11224.0905185279	12106.5565573202	20315.055994107	12624.0464911801	12462.8269372215	12356.3894947291	23470.1816170908
"adenosylcobalamin salvage from cobinamide I"	0.630029708667343	1	1	0.281045372025425	3703.50159505521	2554.49986420082	2484.37383740794	1347.33782891746	2291.74346926936	1484.33553108137	6931.43017579267	5777.60547713659	5215.21776357085	1570.78840926323	1603.94052480463	1122.0272197633	1531.96497726977	2124.7108897405	5017.60863958279	2456.39480475701	1213.15207626304	2562.41163683452	4500.31204684191	772.090008097766	3131.04246571196	1836.48574610116	673.175182698332	2837.35536616506
"reductive acetyl coenzyme A pathway"	0.241459714956384	1	0.104865217930892	0.223058716105691	146.568322553948	121.078951110307	60.9582017645822	40.5280453163348	151.492286024491	99.716226401804	263.546220772159	335.741615659162	77.8283262771408	81.6904637611507	62.7510221953456	57.8522866587277	113.503994833852	34.9539451176185	38.9526956924156	76.7796457979951	6.99843681909914	94.5604923265126	187.403018264632	41.9529957232503	264.880112104682	140.137271885417	29.961095078441	244.619223090525
"colanic acid building blocks biosynthesis"	0.420842310004952	0.702582914637643	0.83845610475338	1	3966.67221699723	1943.62140851207	4743.12170364336	1291.7889963908	4479.81680726965	1268.99514846182	3360.9594177263	4549.46876030367	7656.07266515603	2650.34759589138	2986.23301335786	2596.95184954818	3758.30990482507	4408.31860944884	6814.63654729235	5852.55052848619	3751.76054933223	3873.15408247546	3924.95149030977	4296.1126598811	5176.95443174467	4106.12109900482	2816.77828395973	6557.98287871784
"superpathway of aromatic amino acid biosynthesis"	0.84896043973956	0.390026848402682	0.479244551012931	1	6546.1954781174	3629.92338750418	5398.21474921336	2374.86079648756	5381.77604075554	2243.39001847291	10582.1108536869	10210.8989035912	8596.77952553322	3403.40384370107	3592.32635256444	2891.65338962763	3661.34600507008	4961.38160730147	9549.83200461742	6196.48513934091	2732.32735380955	5287.9163851407	7890.98538864452	3547.77333942223	6939.42463265381	4696.58367032096	2219.33533375658	6996.55387973511
"L-lysine biosynthesis I"	0.567081944942792	1	0.175239940393165	0.702582914637644	9728.29845891696	3725.69567125695	9049.19653481287	2128.65083431194	7616.31969952126	1609.80956784849	12798.7334237256	12475.3634640918	13791.3144115578	6200.83231882739	5267.5680958181	7835.97903948108	7624.24742308055	7721.71992648811	11763.6884429393	9444.58934892421	11244.746660215	6496.18740723012	9308.1302516318	6168.04721166085	8193.38099318779	8187.77698805095	5135.74044432146	8704.8423082747
"superpathway of purine nucleotides de novo biosynthesis II"	0.884434326401331	1	1	0.76843489981058	13041.549810636	3727.84990787017	13387.7645686057	2793.69269876286	15748.8325350734	7105.80149143884	13834.5519292889	15784.291157382	18332.1257125034	10063.8184295274	8197.25920879362	12037.2524263205	10812.5760161312	12283.5040506586	16023.9301159708	12439.2585586445	17650.1530123888	11117.1656578404	12318.3611407187	22965.2393818479	9535.3326297239	12495.9484038929	10737.4701050069	26440.6435492499
"dTDP-L-rhamnose biosynthesis I"	0.0292415761197202	1	1	1	14346.9989068585	5384.22965429702	14395.4666762742	3173.64837525155	8632.65961273844	2564.25796727225	14876.7618494393	16447.871566535	23608.0927218988	11098.1585014009	8211.34075903374	11839.7680428435	14679.3846735917	12738.868339123	18356.3256673189	17159.3164571118	13942.7291909031	9496.1757295968	6959.717887871	4862.27455413974	12333.2994451411	10010.6409961194	9133.19801145702	8496.82678170227
"enterobacterial common antigen biosynthesis"	0.0345016487490504	0.0738726027713595	0.0738726027713595	1	7.30714772095343	9.42437150960249	0	0	0	0	5.7604362689999	17.2889106331215	0	0	0	20.7935394235992	0	0	0	0	0	0	0	0	0	0	0	0
"enterobactin biosynthesis"	0.120314388400899	0.224117799936391	0.224117799936391	1	7.37789510852986	11.7700408623106	0	0	0	0	17.6913168856313	26.5760537655478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fatty acid &beta;-oxidation I"	0.0417757773568273	1	1	0.702582914637643	173.023642102846	111.03281920896	437.078399596173	193.09370232162	226.488635980967	145.196618325584	80.6282990724613	67.6614163193259	125.321976672567	167.695535276557	234.181988073193	362.652637202975	323.218820675402	592.063198116674	749.280131010798	397.034051341237	305.884420036129	254.9897763968	144.076059585933	387.315797724199	162.157055393384	38.8760841399228	217.44159542892	409.065223613446
"fatty acid elongation -- saturated"	0.84896043973956	0.479244551012931	1	1	12986.7662889916	3837.43144010428	13479.3053699385	2835.9753166657	15702.4302196337	7392.94377049168	14106.982563492	15558.2002124017	18530.0336255324	9602.0339768658	8263.66308184812	11859.6842738098	10594.568978503	12266.5044880282	16102.7164429138	12710.6482806033	17797.0255441641	11404.3684854185	12189.5619510929	23610.1109410505	9625.42287314789	12133.49005595	10113.6241194484	26542.3713771126
"superpathway of fatty acid biosynthesis initiation (E. coli)"	0.112896190605894	0.838456104753379	1	1	212.9976450741	450.515351636717	119.853124158546	98.064300364812	109.670019568491	39.9297248012925	8.32235083688923	24.976627653867	1130.36589518825	0	89.3598426040534	24.9611541615394	74.6447231201293	122.503414081006	92.2017164832767	310.290249765515	29.9569971938416	89.5216443075056	94.5268814331029	168.051698777541	124.065015158529	127.348983908337	94.1319904216086	49.8955477118301
"mixed acid fermentation"	0.169013315406066	0.390026848402681	1	1	6938.14087139956	2412.38561479986	8323.64076846839	1789.17570065421	6255.07690628185	1725.45761419019	6599.32480877375	8099.57637039148	11177.435875416	5733.10763768972	4388.08966517808	5631.31087094837	9117.83295506087	8334.56862152756	9834.58906543369	10255.7738570146	6608.91585481969	5790.16425695393	3908.91087413966	4704.98825927653	8329.41757098272	6048.79257324341	6732.28068042478	7806.071479624
"superpathway of tetrahydrofolate biosynthesis and salvage"	0.317842649864242	0.390026848402681	0.250696949500726	1	6312.06497450319	3200.55297298277	7849.95793737545	2046.28366205219	6820.34479755671	1644.34161848761	6793.55905172025	4906.5720572633	12514.0952369799	3707.82083990584	4668.07716103968	5282.26550011021	6533.45981057772	6641.85039599855	10979.5381743283	9800.53283963629	7235.2297764624	5909.13662724941	6465.93437650483	6239.68724893719	7353.79836043371	6714.08768977865	4561.1453772434	9587.4157324425
"superpathway of fucose and rhamnose degradation"	0.630029708667343	0.583097732409327	0.768434899810579	1	782.157419832156	592.308773174955	765.682174326278	555.523990995594	512.379557810244	391.270654769605	1865.27245224652	917.974163191564	809.822443197679	511.649230950766	372.373996930784	215.852232475627	206.579296287561	640.942577633118	1526.18731066406	797.359668715798	150.42466691292	1272.5995257442	404.002650778282	222.005105360337	676.80472786641	420.581995012538	136.572261561884	1214.31060628201
"fucose degradation"	0.346982985921552	0.768434899810579	0.991170146546382	1	785.774137574859	706.319790811517	543.619461244127	375.504966889397	366.276568141865	297.269327990259	2029.5414423226	1218.34636471765	512.013144009064	327.356366304993	435.247616117696	192.139891977145	189.029428769103	483.703855728456	1007.90898325978	553.157874143042	90.708610568609	937.208014995771	349.681807637193	162.650700210479	446.015740069729	249.328697684474	78.4961431082091	911.486320141103
"superpathway of hexuronide and hexuronate degradation"	0.50448835267872	1	0.768434899810579	1	3036.22555158159	1729.73652503245	2304.35632973061	733.714919268831	2014.11429208006	740.678735143463	4426.76057094223	3722.03961128644	5439.48917961043	1701.49936271579	1627.62367045389	1299.94091448073	1735.40211237797	2021.48419435515	3487.34878797065	2816.40050132857	1514.78367104584	2250.71871130546	2487.73950369029	1469.34904118571	2682.46298434467	1496.01852842667	1107.46722227472	2841.64847255828
"D-galactarate degradation I"	0.437079420025964	1	1	1	67.8757925022999	82.687841392865	19.0190783717339	24.7880681570583	33.3907082524248	77.2385089276931	204.306134014972	128.203862575014	0	58.0909528444679	16.6538055793453	0	0	18.8400170782102	60.8477661605306	0	0	34.4266869916627	0	0	190.862982994706	9.48126651984218	0	0
"D-galacturonate degradation I"	0.587332756844842	1	0.9126931589997	1	3918.65721067154	2179.55800005625	3110.86107439748	1215.35963502681	2694.38505545334	1101.88591466393	5637.97983025445	5146.68283925755	6727.32718898173	2279.7898195541	2205.24066226959	1514.9229237118	2099.81391292699	2887.91403779931	5278.82733698774	3356.88047286558	1866.35014754784	3175.3805382574	3212.12044049207	1741.82037122797	4110.55707279816	2101.20355322917	1390.66680481867	3609.94209015399
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	0.50448835267872	1	0.223058716105691	0.768434899810579	9860.8948523304	2948.78449513345	10328.619521939	2364.2253300131	15315.2623666267	7565.51074982937	11817.7048558195	14061.8692996183	11164.1640649288	7615.04793812525	6342.84417659895	8163.73877889158	7751.83012763305	10231.512993959	11423.9417034248	7974.34678806097	14142.0081503403	10448.0773682158	11214.6009607942	23964.5287196259	10196.3241473094	10308.0055119055	10112.5423482872	26095.5725118378
"D-glucarate degradation I"	0.263597138115727	1	1	1	402.058263897226	329.074039126922	186.781799286151	139.39779549457	147.34860496321	183.752126435417	929.890084273654	592.755919877338	386.44646162892	362.898265472016	117.148722903206	23.2101292282234	76.570826682173	179.393799801751	301.198569747047	110.70003628245	49.0206224099987	403.806940793484	49.348930049169	0	489.060047088857	98.8614085415255	30.5534730749898	216.267771024717
"superpathway of D-glucarate and D-galactarate degradation"	0.437079420025964	1	1	1	67.8757925022999	82.687841392865	19.0190783717339	24.7880681570583	33.3907082524248	77.2385089276931	204.306134014972	128.203862575014	0	58.0909528444679	16.6538055793453	0	0	18.8400170782102	60.8477661605306	0	0	34.4266869916627	0	0	190.862982994706	9.48126651984218	0	0
"gluconeogenesis I"	0.644940966469783	0.768434899810579	0.991170146546383	1	12994.3512215346	4178.9200296426	13809.281260056	2083.66202017985	12841.0810390439	3993.69097524005	14114.3588425551	16256.2102096422	19052.8578692742	9612.62895047446	8376.70207449854	10553.3493827631	12429.5164813939	13130.823161302	16990.1111509327	14871.9081651153	14406.2948021366	11027.0337994551	8996.66929820511	16629.5013048875	11884.9157469415	10577.0541229483	10051.4506344297	18906.8951268511
"glucose and glucose-1-phosphate degradation"	0.0104937124637679	0.00823434867133068	0.0360244935945421	1	8.77196722956074	9.00116937394948	0	0	2.22221808600376	5.44330040789349	6.65891331478239	19.9898952439945	4.65942515798123	0	1.3398989638676	19.9836706967387	0	0	0	0	0	0	0	0	13.3333085160226	0	0	0
"superpathway of &beta;-D-glucuronide and D-glucuronate degradation"	0.470299306363909	1	0.768434899810579	0.991170146546382	3000.28682424625	1737.17712957592	2228.96832718081	658.077197863364	1992.96819365275	730.715804133632	4669.07263607159	3649.91599001586	5225.04474840159	1615.63003501922	1537.48368900766	1304.57384696156	1743.89995725394	1886.4641636009	3236.4264731534	2807.98473307993	1554.11122865745	2144.92340733924	2549.52080733252	1414.43717073489	2625.95071294215	1467.62890165191	1130.08654713949	2770.18502211557
"L-ornithine biosynthesis"	0.834196285742519	1	1	1	4689.18787593143	2832.75613400329	3558.57825484145	1774.08015759939	4309.45199705947	1939.25424259808	7712.60653388589	7569.10988540065	6421.28646504201	2311.45972677703	2385.91310619632	1734.75153828671	2291.60733409434	2764.30385993287	6859.60942213402	3922.39054248002	1986.78397246028	3526.77439794717	6461.15166212739	2568.900029274	5756.75052796803	3914.82104655631	1599.86664462104	5555.22207181003
"glycogen degradation I (bacterial)"	0.71653131057379	0.76843489981058	1	1	8867.3278067583	4676.35636587113	6784.1368280225	2472.00654706949	7568.53190963708	3021.04308510912	13662.6574398382	14059.8139924527	11410.70809933	4998.9051379157	4999.16139435943	4072.72077665376	4336.65218782089	6494.16712940931	11172.3531022907	6637.99978383361	4605.27746474392	7458.37130003656	10369.389133324	5338.0539833435	8181.15161236912	6901.18708060187	3319.4599048864	11301.9497432976
"glycogen biosynthesis I (from ADP-D-Glucose)"	0.470299306363909	1	0.991170146546383	0.768434899810579	10527.6922646495	4190.68562230238	9591.84957191178	2539.13011814715	14243.7672388899	7225.06700564973	15064.9187796767	15866.919632293	11266.3187274113	6920.63019444569	6474.67006251201	7572.69619155809	5840.6524836426	9519.77753537631	12603.9995231969	7557.61049124596	11685.3591720953	10343.6982259136	13296.4737055551	21841.648520395	8380.16755031087	9451.97588533342	7969.07667970181	24523.2610920429
"superpathway of glycol metabolism and degradation"	0.0345016487490504	0.0738726027713595	0.0738726027713595	1	5.13041076247782	6.2968200997209	0	0	0	0	5.32707708729319	11.3474260113327	0	0	0	14.107961476241	0	0	0	0	0	0	0	0	0	0	0	0
"glycolysis I (from glucose 6-phosphate)"	0.948729480016436	0.223058716105691	0.768434899810579	1	13624.501196795	4854.28716158162	13163.7031013914	2633.9960178286	12494.2850561483	3702.45345121618	16507.1436957794	18658.0520310516	18614.1299174833	9616.61742791399	7828.66949260312	10522.3946159388	11444.7754573489	11954.2607096358	17805.4370774737	13382.2287165271	14043.383636265	10352.133011098	12681.8464207567	11948.8091095774	12927.6919565419	10517.4025045735	7863.55849249579	19026.4018529444
"superpathway of glycolysis and Entner-Doudoroff"	0.229079949815488	1	1	1	8726.01333584379	3379.98192094499	8537.65527873007	2128.61460361005	6058.71429265947	2332.76626388079	9579.041017608	9484.49770185934	14635.9009371096	7113.05899686193	5125.57940731616	6418.00195430772	7936.54449092255	7327.36417440458	12017.3976144365	9705.32902639724	8411.02438056808	5828.27198565145	4416.66820551012	2594.92538196046	7784.14715020361	7769.0422322095	5278.52244415857	8508.98034191454
"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	0.0345016487490504	0.0738726027713595	0.0738726027713595	1	39.4706904475357	54.2873441388099	0	0	0	0	23.808353065994	126.860905709647	0	0	0	86.154883909573	0	0	0	0	0	0	0	0	0	0	0	0
"glyoxylate cycle"	0.0345016487490504	0.0738726027713595	0.0738726027713595	1	10.5188583247952	12.6777954914847	0	0	0	0	13.2998243711863	29.9037491653019	0	0	0	19.9095764122829	0	0	0	0	0	0	0	0	0	0	0	0
"superpathway of glycerol degradation to 1,3-propanediol"	0.00968257984213293	1	0.432876166320316	1	2862.47295153282	539.694007093187	2798.4210809391	1069.37199471967	1052.83513582122	938.671427485591	3030.89692854887	3040.7096101917	3020.97840137348	2719.03501162571	1880.0194832021	3483.19827425509	2491.64034866733	2401.59653503705	3429.57283124244	2112.72113870151	4645.53441170798	1709.4612202783	29.879510886449	0	1534.18168573462	2433.89823530463	1370.26803996584	948.783343035754
"heme biosynthesis I (aerobic)"	0.0287330398997284	0.0283324970634979	0.432876166320315	0.768434899810579	192.693109244027	125.662603776583	504.50957298879	218.574251943297	348.860890907296	131.900158344146	122.398781036284	19.9583131862339	214.470416953392	180.219848936541	219.463171683076	399.648123668634	352.238779225921	669.004034198608	849.241540013094	506.806950957899	376.127213523433	273.638920013782	274.997141732199	507.657226308319	368.254311530502	178.284452319775	270.970019519673	493.002194033306
"heme biosynthesis II (anaerobic)"	0.926794526901683	1	1	1	3136.3682782615	1772.19570013406	3055.49843868559	1327.47788297798	3099.48019046441	1412.83726840555	5413.65668683904	5219.09031236869	2989.11815546037	1730.7776045559	2080.73889685032	1384.8280134947	2005.72780113375	2728.69245554826	5388.38778549541	3262.50800860366	1625.22605512567	3322.44852620681	3537.86248948177	2163.7526539316	3447.70068433	2680.45158465802	1327.5243905974	5439.58933978767
"superpathway of hexitol degradation (bacteria)"	0.079279189337234	1	0.313734922067963	0.104583468579669	526.68099497867	534.282302079596	370.073705381543	318.72145994147	113.414188609319	128.646810334012	1471.53783554655	771.796229518024	522.539980902185	149.700268352155	71.2611406621372	173.250514890962	484.209961697536	921.014368919316	208.859864472638	194.043928645246	5.35812054762012	406.9559880069	334.040451170976	43.6124880309991	168.561614432084	134.270578021858	0	0
"L-histidine degradation I"	0.195620455746494	1	1	0.768434899810579	1336.53706298023	649.613567852581	1753.46743057919	620.009029612038	1037.52824709271	393.382051574245	1851.01277465508	1172.21480709072	2388.12402483126	687.984069034185	1023.975	895.911702270118	1208.13687752012	1627.33579613195	2254.68510473836	2651.5541970891	1011.32334536098	1767.76926263463	643.976435784449	1631.82129694653	1255.10436987905	746.5065105305	723.336200276019	1224.42466913969
"L-histidine biosynthesis"	0.959890875328063	1	1	1	5451.65965617567	2947.52225883007	4688.02845361683	1929.50511902426	4709.41457043441	1779.15700527698	8337.85747939211	8066.76046289022	7993.85129390044	2681.73996368836	3154.05020505937	2475.69853212354	3194.07569046702	4010.45771340275	8022.97004064032	5583.87978854378	2689.04530777586	4627.74218087125	6479.95427673222	3316.83878402996	6105.91230898111	4227.57734016538	2096.49257448036	6029.71213821745
"L-methionine biosynthesis I"	0.0344439796613971	1	1	1	825.518577509106	554.148090347508	1276.33723229973	572.670555576006	1899.84713373713	710.017000106654	172.99990398735	1282.12962976603	1691.31155785335	620.311559321094	566.199113630967	620.159700495844	1016.4945713736	821.469358017737	2154.9267814194	1781.52221264314	1180.94960604121	702.660864303319	2227.27019656687	1182.70591758005	2137.77710521962	2000.73388571524	968.470008779068	2882.12568856194
"L-methionine biosynthesis III"	0.423310586293175	1	1	1	1904.23245434613	974.815507726088	2495.85522041301	927.351800763298	2397.45032869613	666.630606456509	3425.14309785025	2492.38972147845	2111.94945773119	719.133312804319	1384.57149918746	1292.2076370251	1641.97267276082	2196.28678490046	3953.82665227959	3271.73300886129	1664.32043204348	2246.9917716324	2666.59170599086	2261.77158268019	2827.76072298146	2118.99848685402	1298.82700962376	3210.75246404649
"L-isoleucine biosynthesis I (from threonine)"	0.910676771022518	0.390026848402681	1	1	9065.13926175691	4908.25907201166	7638.15492337079	3247.3024264408	7997.39825693162	3385.19391526265	14867.1550840211	14595.2656212482	10459.9152028631	4960.91900355756	5102.98035638049	4404.60030247095	4794.55817717131	6909.22664820859	13432.2369799234	7823.18542672377	4484.72892743559	8384.99338076206	11445.4307190465	5822.50550197779	8770.48150887588	6521.6620747682	3368.16935460409	12056.1403823173
"superpathway of (Kdo)2-lipid A biosynthesis"	0.0345016487490504	0.0738726027713595	0.0738726027713595	1	30.0354553586269	37.7383261844208	0	0	0	0	26.3304746677632	77.4457608821179	0	0	0	76.43649660188	0	0	0	0	0	0	0	0	0	0	0	0
"lactose and galactose degradation I"	0.413523499395485	1	1	1	5953.18021432338	1690.9066012403	6503.86166813742	1950.06435763208	10416.7666655414	7303.74190275904	5713.79815054865	8631.94922942913	4235.58970428756	6023.72597207999	4179.74343281363	6934.27479678132	5459.02144166743	8022.53115662842	6073.32333101258	4197.00913451254	9578.18197409893	5693.10297090462	6585.75476862187	19390.8469239972	2282.925720448	6094.25698562738	8599.51735786311	19547.298236691
"superpathway of S-adenosyl-L-methionine biosynthesis"	0.0297591127478813	0.11969362560421	1	0.529274546425124	1271.24569457929	838.456688480736	1982.87630230508	849.911448643212	2997.49001123867	1116.18467203238	268.108377503549	1951.66563793808	2580.44662770075	968.86548475453	872.8347036685	985.553335910328	1604.19107160262	1272.09889042022	3253.2694404742	2714.44395005566	1972.56665474324	1080.68780653452	3319.10116514652	1943.98139455825	3199.43364138606	3179.67084276103	1609.07326731686	4733.67975626329
"methanogenesis from acetate"	0.50838091539483	1	1	1	15.6870717777615	20.2485709430409	10.294589203471	9.70131352564984	29.5437911098395	28.441996555507	11.8242859372346	41.4825398068173	40.8156049225168	0	0	0	7.63054010790047	13.5450539804795	15.7736730471653	0	0	24.8182680852807	69.0557205956352	0	55.6311251327134	30.537779245278	0	22.0381216854103
"superpathway of methylglyoxal degradation"	0.120314388400899	0.224117799936391	0.224117799936391	1	1.98975761013082	3.28757818673764	0	0	0	0	4.16217190561211	7.77637375517278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAD salvage pathway II"	0.346982985921552	1	1	1	370.981059033353	274.526747762995	167.810664321201	118.79385356341	197.339999408754	112.006522670024	689.62861504008	703.167226572596	303.846930236912	29.8249700582082	335.244728464716	164.173883827607	53.259454150827	116.5728756842	327.944288950265	255.855009172505	31.6844881620331	221.547869807377	255.496774182378	164.004129691759	304.847998284246	61.2871939865909	80.5458387757952	317.858061531754
